Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,61,61,0,1,61,0,0,0,0,2635,2643,150571,0,1680,3,20,0.0675461,1,10.400759013282732,6.904743833017077,7.904743833017077,5.9574952561669825,0,0,0.427644675,satisfy,0
s3-02,62,62,0,1,62,0,0,0,0,1676,1685,96933,0,951,3,20,0.0189208,1,10.189140811455847,6.769689737470167,7.769689737470167,5.252386634844869,0,0,0.36293077,satisfy,0
s3-03,61,61,0,1,61,0,0,0,0,1462,1471,33703,0,649,3,20,0.0199701,1,10.51641586867305,7.034199726402189,8.03419972640219,5.792749658002736,0,0,0.358737065,satisfy,0
s3-04,74,74,0,1,74,0,0,0,0,2998,3004,276459,0,11222,3,20,0.0189876,1.0006671114076051,9.836224149432955,5.33645172068159,6.329553035356905,5.145096731154103,0,5,0.360557416,satisfy,0
s3-05,72,72,0,1,72,0,0,0,0,4758,4762,528786,0,15195,3,20,0.0192887,1,10.239386296763346,6.118351902459533,7.1469104665825975,5.833123160992013,0,1,0.278509744,satisfy,0
s3-06,76,76,0,1,76,0,0,0,0,11428,11435,483612,0,15433,3,20,0.023302,1.000350017500875,10.228998949947497,6.311854316231833,7.311603080154008,5.834529226461323,0,6,0.345469509,satisfy,0
s3-07,69,69,0,1,69,0,0,0,0,3639,3642,52027,0,1845,3,20,0.0189309,1,10.853531189887331,6.960703489969772,7.961527892278099,6.174498488595768,0,0,0.374847553,satisfy,0
s3-08,73,73,0,1,73,0,0,0,0,4303,4307,269768,0,10872,3,20,0.0235366,1.0002323960027888,9.93864745526377,5.912598791259879,6.999070415988845,5.225191726702301,0,1,0.310588246,satisfy,0
s3-09,72,72,0,1,72,0,0,0,0,7184,7292,290237,0,10007,3,20,0.0271455,1.0141982182628062,10.178034521158128,6.551719337324238,7.610940979955457,6.2565423162583516,0,1,0.355043592,satisfy,0
s3-10,75,75,0,1,75,0,0,0,0,6369,6380,230225,0,12225,3,20,0.0218628,1.0003140210394097,9.919767624430836,6.146065651013036,7.145548751766368,5.781598367090595,0,2,0.4066579,satisfy,0
s4-01,,,,,,,1,0,0,,,,,,4,30,0.0304514,,,,,,,,,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.0451077,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.0392509,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.0439757,,,,,,,,,satisfy,0
s4-05,,,,,,,1,0,0,,,,,,4,30,0.0399849,,,,,,,,,satisfy,0
s4-06,,,,,,,1,0,0,,,,,,4,30,0.0417367,,,,,,,,,satisfy,0
s4-07,,,,,,,1,0,0,,,,,,4,30,0.0434065,,,,,,,,,satisfy,0
