Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
s3-01,37,37,0,1,37,0,0,0,0,2875,2883,12544,0,48,3,20,0.0676215,1,10.398260869565217,6.964173913043478,7.964173913043478,5.9499130434782606,0,0,satisfy,0
s3-02,37,37,0,1,37,0,0,0,0,1761,1770,8521,0,25,3,20,0.0292435,1,10.175468483816013,6.7666098807495745,7.7666098807495745,5.286201022146508,0,0,satisfy,0
s3-03,36,36,0,1,36,0,0,0,0,1560,1569,6983,0,21,3,20,0.0203938,1,10.528846153846153,7.048076923076923,8.048076923076923,5.822435897435898,0,0,satisfy,0
s3-04,39,39,0,1,39,0,0,0,0,3947,3953,19972,0,83,3,20,0.0242624,1,9.735748669875855,5.4644850329781836,6.457562705852546,5.116290853813022,0,5,satisfy,0
s3-05,39,39,0,1,39,0,0,0,0,7597,7601,33322,0,193,3,20,0.0252684,1,10.165986573647492,6.263559768299105,7.317625378438858,5.83519810451494,0,1,satisfy,0
s3-06,39,39,0,1,39,0,0,0,0,16982,16987,74791,0,489,3,20,0.0254307,1,10.124602520315628,6.359978793590952,7.357731715934519,5.758567895418679,0,6,satisfy,0
s3-07,37,37,0,1,37,0,0,0,0,4775,4780,21374,0,103,3,20,0.0235628,1,10.873089005235602,6.977591623036649,7.977591623036649,6.305549738219895,0,0,satisfy,0
s3-08,38,38,0,1,38,0,0,0,0,6384,6387,30949,0,159,3,20,0.0193816,1,9.867951127819548,6.037756540811531,7.146146616541353,5.263627819548872,0,1,satisfy,0
s3-09,39,39,0,1,39,0,0,0,0,11664,11862,45888,0,274,3,20,0.0185641,1.0162894375857339,10.140089163237311,6.740889993998113,7.8032407407407405,6.231910150891633,0,1,satisfy,0
s3-10,39,39,0,1,39,0,0,0,0,9814,9823,40448,0,219,3,20,0.0297985,1,9.909517016507031,6.347737464329392,7.346443855716323,5.884654575096801,0,2,satisfy,0
s4-01,57,57,0,1,57,0,0,0,0,691492,691522,3734001,0,22288,4,30,0.0221033,1.0000260306699138,15.589087075483159,11.17541489995546,12.29331792703314,10.352462501373841,0,0,satisfy,0
s4-02,58,58,0,1,58,0,0,0,0,713869,713878,4198502,0,23927,4,30,0.022249,1,15.487852813331298,10.356218017591463,11.37223075942505,10.357204192926153,0,0,satisfy,0
s4-03,59,59,0,1,59,0,0,0,0,4719000,4719013,25234097,0,231607,4,30,0.0277571,1,15.07090675990676,10.583280002780253,11.583271031998304,10.023020555202374,0,4,satisfy,0
s4-04,57,57,0,1,57,0,0,0,0,982641,982654,4823715,0,41896,4,30,0.0287744,1,15.415967784775924,11.328194121759624,12.328194121759624,10.80411666112039,0,0,satisfy,0
s4-05,55,55,0,1,55,0,0,0,0,210706,210719,1164928,0,9148,4,30,0.0548789,1,14.997456171157916,11.22774861655577,12.87241464410126,8.9699154271829,0,0,satisfy,0
s4-06,56,56,0,1,56,0,0,0,0,948402,948414,4473448,0,38303,4,30,0.0515447,1,15.444853553661844,11.803720363305855,12.803720363305855,10.399690215752392,0,0,satisfy,0
s4-07,59,59,0,1,59,0,0,0,0,6491125,6491138,31883790,0,274080,4,30,0.0326789,1,15.281699089140943,10.949556024366819,11.94955096381598,10.480693870476998,0,3,satisfy,0
s4-08,57,57,0,1,57,0,0,0,0,606341,606353,3020048,0,21513,4,30,0.0380866,1,15.249912178130788,11.313768984779191,12.313768984779191,10.213069873223153,0,0,satisfy,0
s4-09,55,55,0,1,55,0,0,0,0,63733,63746,346436,0,2578,4,30,0.0329007,1,15.676148933833336,11.390111872970047,12.735458867462697,9.699794454991919,0,0,satisfy,0
s4-10,59,59,0,1,59,0,0,0,0,3106859,3106871,16788479,0,131027,4,30,0.0276347,1,15.44530022122021,10.608231405565174,11.608224576654429,10.48732208317146,0,2,satisfy,0
s5-01,,,,,,,0,1,0,88657189,88658050,556058261,0,3599765,5,40,0.0789299,1.0000095198145749,20.278915024025856,14.77582861328933,15.800837143618438,15.479236094435613,0,0,satisfy,0
s5-02,75,75,0,1,75,0,0,0,0,42706159,42780840,262505079,0,1565030,5,40,0.0222109,1.0017483895004464,20.026237878241403,15.167775566048915,16.414237346889472,14.756905953541736,0,0,satisfy,0
s5-03,,,,,,,0,1,0,101664188,101748735,621055306,0,3599877,5,40,0.0197721,1.0008314825668996,20.763095299595566,15.255674820321193,16.443298470057126,15.343006674090585,0,0,satisfy,0
s5-04,74,74,0,1,74,0,0,0,0,26167800,26167862,160875193,0,955488,5,40,0.0197333,1.0000017196707405,20.233806395646557,15.782168428373803,17.14334395707702,13.829457921567728,0,0,satisfy,0
s5-05,,,,,,,0,1,0,102736968,102740900,595265763,0,3599868,5,40,0.0195554,1.0000381070229754,20.593948947374034,15.62027931367412,16.62028177627356,15.486799513102236,0,0,satisfy,0
s5-06,,,,,,,0,1,0,117137363,117137380,717196176,0,3599868,5,40,0.0190705,1,20.195723895543047,15.035789554183493,16.03578955418349,14.869928897067625,0,0,satisfy,0
s5-07,,,,,,,0,1,0,114313673,114313690,686032433,0,3599883,5,40,0.0185897,1,20.367306717543755,15.832066510538946,17.955699498869222,13.559423814507298,0,0,satisfy,0
s5-08,,,,,,,0,1,0,122666109,123029009,710871535,0,3599879,5,40,0.0209499,1.002958298775092,20.273067673484288,15.51091120857188,16.58304885174111,15.002102528580245,0,0,satisfy,0
s5-09,,,,,,,0,1,0,114109222,114109235,710045308,0,3599884,5,40,0.0186627,1,19.97137623986254,15.53498403485741,16.53498403485741,14.486611108434339,0,0,satisfy,0
s5-10,,,,,,,0,1,0,112547652,112547667,657277779,0,3599884,5,40,0.0184719,1,20.811533722622663,15.92967776884408,16.92967776884408,15.371944809652716,0,0,satisfy,0
u3-01,,,,,,,0,0,1,8175,8174,39290,0,180,3,20,0.0182874,1,9.703572302422314,5.839701200097967,6.92610716907267,5.080009787129924,0,8,satisfy,0
u3-02,,,,,,,0,0,1,5484,5483,30503,0,100,3,20,0.0177519,1,9.968995075688492,5.465205479452055,6.45723144264089,5.158672259711836,0,8,satisfy,0
u3-03,,,,,,,0,0,1,7913,7912,34948,0,160,3,20,0.0175219,1,9.75947927199191,5.91562302340291,6.910389282103134,5.512639029322548,0,7,satisfy,0
u3-04,,,,,,,0,0,1,16502,16501,67368,0,376,3,20,0.0173584,1,9.75977213502212,6.276359667737828,7.273316768680686,5.630264832434398,0,8,satisfy,0
u3-05,,,,,,,0,0,1,9254,9253,45467,0,203,3,20,0.0184059,1,10.087214957311142,5.959978366684695,6.95482546201232,5.45466335242624,0,8,satisfy,0
u3-06,,,,,,,0,0,1,12627,12626,60018,0,295,3,20,0.0180964,1,9.773008078568035,6.141792819212174,7.409630920323143,4.93149057500396,0,9,satisfy,0
u3-07,,,,,,,0,0,1,30366,30365,111029,0,718,3,20,0.0173086,1,10.13403589659147,6.7880155488206615,7.7860036225917995,6.1924584225259345,0,9,satisfy,0
u3-08,,,,,,,0,0,1,19245,19286,81292,0,538,3,20,0.0178537,1.0021824984410725,9.6729370193307,6.386835127125253,7.527073373519019,5.146954895032218,0,11,satisfy,0
u3-09,,,,,,,0,0,1,9278,9277,45733,0,210,3,20,0.0177871,1,10.143473105529806,5.95619807962024,6.951061765657001,5.381265495310984,0,8,satisfy,0
u3-10,,,,,,,0,0,1,12073,12072,58031,0,276,3,20,0.0188335,1,10.413767395626243,6.164718560888668,7.160122597746852,5.747846255798542,0,9,satisfy,0
