Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
u3-08,,,,,,,0,1,19245,19286,81292,0,531,3,20,0.0170736,1.0021824984410725,9.6729370193307,6.386835127125253,7.527073373519019,5.146954895032218,0,11,satisfy,0
u3-09,,,,,,,0,1,9278,9277,45733,0,242,3,20,0.017162,1,10.143473105529806,5.95619807962024,6.951061765657001,5.381265495310984,0,8,satisfy,0
u3-10,,,,,,,0,1,12073,12072,58031,0,321,3,20,0.0174588,1,10.413767395626243,6.164718560888668,7.160122597746852,5.747846255798542,0,9,satisfy,0
u4-01,,,,,,,0,1,5710188,5712570,28479244,0,167809,4,30,0.0193499,1.0004173243363133,14.64467678554135,10.71389388241166,11.869048947083519,9.837580625643259,0,12,satisfy,0
u4-02,,,,,,,0,1,4734052,4734051,25452582,0,132610,4,30,0.0346939,1,14.970564744655265,10.558179296406156,11.558150302985752,9.95124999709551,0,13,satisfy,0
u4-03,,,,,,,0,1,4156886,4156885,24094032,0,120559,4,30,0.0356513,1,15.314520849145454,10.454669389548052,11.454634179199088,9.93649740129929,0,14,satisfy,0
u4-04,,,,,,,0,1,6973591,6973590,34042000,0,208515,4,30,0.0438519,1,15.112112269290279,10.814658074996244,11.877784613090245,10.23838682801828,0,14,satisfy,0
u4-05,,,,,,,0,1,6868051,6868050,34154118,0,205474,4,30,0.0336073,1,14.985055874666026,10.817511731155749,11.81748968047699,10.197206339499568,0,14,satisfy,0
u4-06,,,,,,,0,1,3564227,3564226,19113160,0,110292,4,30,0.0366276,1,14.628714621351172,10.300782417202573,11.300739066490172,9.667031776323949,0,15,satisfy,0
u4-07,,,,,,,0,1,2982979,2982978,16338179,0,93719,4,30,0.0199861,1,14.91462960839805,10.175118380537485,11.175074036751193,9.743314902087779,0,13,satisfy,0
u4-08,,,,,,,0,1,7584425,7590940,37497390,0,218377,4,30,0.0195656,1.000859129183706,15.140473159201015,11.00798796373245,12.008084595481476,10.348380839467836,0,13,satisfy,0
u4-09,,,,,,,0,1,5658898,5658897,28944062,0,166646,4,30,0.0338224,1,15.146848935402076,10.741619902440128,11.74159522606614,10.06565449061893,0,13,satisfy,0
u4-10,,,,,,,0,1,7094444,7094443,33924822,0,177492,4,30,0.0317879,1,14.640463388034833,10.883307592478548,11.88328611562599,10.280878851236102,0,14,satisfy,0
u5-01,,,,,,,0,0,38752369,38752385,235565999,0,1199866,5,40,0.0187154,1,20.661392210628463,15.079420073647627,16.72815463230132,14.704708091523385,0,0,satisfy,0
u5-02,,,,,,,0,0,37701205,37701223,239770152,0,1199869,5,40,0.0175807,1,20.587553368652276,15.642060379767702,16.709503688277337,14.522314233722769,0,0,satisfy,0
u5-03,,,,,,,0,0,39918677,39923104,220769235,0,1199879,5,40,0.0191215,1.0001104495522233,20.95751592669266,16.313157322323082,17.32111041656015,15.354253523983273,0,0,satisfy,0
u5-04,,,,,,,0,0,39071513,39125790,235342973,0,1199875,5,40,0.0187672,1.0013887355731528,20.488582691947457,16.055624080900067,17.125155634490017,14.738249015337594,0,0,satisfy,0
u5-05,,,,,,,0,0,39175976,39175991,225251312,0,1199879,5,40,0.0181999,1,20.871476463024177,15.841884347693087,16.841884347693085,15.588338245867824,0,0,satisfy,0
u5-06,,,,,,,0,0,37889501,37906514,219523647,0,1199879,5,40,0.0178187,1.000448593925795,20.220716683494988,15.510545045182834,16.987927156918747,14.79753417707982,0,0,satisfy,0
u5-07,,,,,,,0,0,38802457,38831521,227099974,0,1199876,5,40,0.0188173,1.0007486639312557,20.79044896564153,15.338078127372192,16.355112512591663,15.690349144643083,0,0,satisfy,0
u5-08,,,,,,,0,0,39320645,39327927,236809034,0,1199848,5,40,0.0186405,1.0001847629915532,20.596768186279753,15.692324807998444,16.70063502264523,14.938417261466592,0,0,satisfy,0
u5-09,,,,,,,0,0,38665793,38665808,256430305,0,1199876,5,40,0.0182148,1,19.785227759327217,15.48853499526054,16.53704528961814,14.288330876855415,0,0,satisfy,0
u5-10,,,,,,,0,0,38143524,38143540,224135111,0,1199881,5,40,0.0188245,1,19.489759729593942,15.931553020638576,18.62354385504601,12.524996222163427,0,0,satisfy,0
