Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
u3-08,,,,,,,0,1,315,314,2640,0,669,3,20,0.0159987,1,9.26751592356688,3.25,4.592356687898089,2.1974522292993632,0,6,0.03722454,satisfy,0
u3-09,,,,,,,0,1,1590,1594,10797,0,2076,3,20,0.0148448,1.0031466331025802,9.755821271239773,4.509481668773704,5.761485210824418,3.9452485840151037,0,7,0.219332698,satisfy,0
u3-10,,,,,,,0,1,2069,2078,14328,0,2081,3,20,0.0186111,1.004835589941973,9.86073500967118,4.678970373967946,5.821566731141199,4.129593810444875,0,9,0.191666467,satisfy,0
u4-01,,,,,,,0,0,95765,96103,816810,0,1079442,4,30,0.015774,1.0034459353626064,15.251574165927009,8.559901843053307,11.06600532553647,6.631869680989923,0,0,120.415825817,satisfy,0
u4-02,,,,,,,0,0,78582,78628,651966,0,1191408,4,30,0.0366596,1.0004581201801939,15.450204881525032,8.42224682497264,10.93022575144435,6.386220763024611,0,0,8.413327899,satisfy,0
u4-03,,,,,,,0,0,71342,71375,620265,0,1191515,4,30,0.0338253,1.0003504247147543,15.58757814471139,8.421771186678255,11.101749320176053,6.437217908104623,0,0,8.315409539000001,satisfy,0
u4-04,,,,,,,0,0,72751,72790,601009,0,1192291,4,30,0.0191002,1.0004123654657668,15.774408599194512,8.580912977141208,11.26932963120782,6.371541284655881,0,0,7.554315391,satisfy,0
u4-05,,,,,,,0,0,63212,63419,547614,0,1193018,4,30,0.0182329,1.0031323166487376,15.636477251154844,8.432243877744732,11.693017148642662,5.313057647282162,0,0,6.8178827680000005,satisfy,0
u4-06,,,,,,,0,0,72321,72364,600809,0,1191234,4,30,0.0199915,1.0004977807275894,15.580965418066675,8.464360282628835,11.15624783949337,6.059816650765338,0,0,8.607429946,satisfy,0
u4-07,,,,,,,0,0,77831,77858,669040,0,1191301,4,30,0.0181948,1.000244118667369,15.45690020685845,8.570196965219514,11.107180943325924,6.645655330138377,0,0,8.545824273000001,satisfy,0
u4-08,,,,,,,0,0,69792,69832,599302,0,1192600,4,30,0.0185894,1.000515818431912,15.756118179734067,8.429103622191656,11.532353278312701,5.887136061439707,0,0,7.252039389,satisfy,0
u4-09,,,,,,,0,0,82055,82142,685085,0,1191410,4,30,0.0176315,1.0009627688745353,15.511632441654987,8.735579794040582,11.514386691853025,6.227310949972579,0,0,8.45737972,satisfy,0
u4-10,,,,,,,0,0,74451,74520,635556,0,1192343,4,30,0.0209111,1.0007790358759452,15.416488697263972,8.52590294287518,11.492444695168635,5.692347987266793,0,0,7.498486493,satisfy,0
u5-01,,,,,,,1,0,,,,,,5,40,0.0345972,,,,,,,,,satisfy,0
u5-02,,,,,,,1,0,,,,,,5,40,0.0445035,,,,,,,,,satisfy,0
u5-03,,,,,,,1,0,,,,,,5,40,0.038541,,,,,,,,,satisfy,0
u5-04,,,,,,,1,0,,,,,,5,40,0.035787,,,,,,,,,satisfy,0
u5-05,,,,,,,1,0,,,,,,5,40,0.0346705,,,,,,,,,satisfy,0
u5-06,,,,,,,1,0,,,,,,5,40,0.0333574,,,,,,,,,satisfy,0
u5-07,,,,,,,1,0,,,,,,5,40,0.0366524,,,,,,,,,satisfy,0
u5-08,,,,,,,1,0,,,,,,5,40,0.038806,,,,,,,,,satisfy,0
u5-09,,,,,,,1,0,,,,,,5,40,0.0401227,,,,,,,,,satisfy,0
u5-10,,,,,,,1,0,,,,,,5,40,0.0369732,,,,,,,,,satisfy,0
