Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
qcp-10-67-0_ext,383,383,0,1,383,0,0,0,15,95,1098,0,13,20,67,0.227917,4.8,2,5,8.066666666666666,0.26666666666666666,0.13333333333333333,0,0.268196674,satisfy,0
qcp-10-67-10_ext,,,,,,,0,1,43,158,1766,0,17,20,67,0.0651843,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.248594053,satisfy,0
qcp-10-67-11_ext,,,,,,,0,1,219,619,7455,0,106,20,67,0.0476306,2.8394495412844036,2.743119266055046,4.509433962264151,8.756880733944953,0.41743119266055045,0.27522935779816515,6,0.186228955,satisfy,0
qcp-10-67-12_ext,,,,,,,0,1,185,604,6469,0,119,20,67,0.0771923,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.321275791,satisfy,0
qcp-10-67-13_ext,,,,,,,0,1,8,24,588,0,3,20,67,0.0762296,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.168813416,satisfy,0
qcp-10-67-14_ext,,,,,,,0,1,25,73,1182,0,13,20,67,0.0559163,3.0416666666666665,2,1.588235294117647,3.125,0.20833333333333334,0.3333333333333333,7,0.171932899,satisfy,0
qcp-10-67-1_ext,345,345,0,1,345,0,0,0,30,90,1388,0,13,20,67,0.0537797,2.4,2,3.7666666666666666,6.733333333333333,0.43333333333333335,0.36666666666666664,0,0.1015622,satisfy,0
qcp-10-67-2_ext,69,69,0,1,69,0,0,0,2,16,623,0,4,20,67,0.050164,1,2,3.5,8,0,0.5,0,0.2448415,satisfy,0
qcp-10-67-3_ext,759,759,0,1,759,0,0,0,75,157,2764,0,39,20,67,0.0530202,1.8533333333333333,2.8666666666666667,4.986666666666666,12.2,0.4,0.32,0,0.142684474,satisfy,0
qcp-10-67-4_ext,503,503,0,1,503,0,0,0,26,67,1216,0,8,20,67,0.0493031,1.8076923076923077,2,5.115384615384615,9.153846153846153,0.34615384615384615,0.4230769230769231,0,0.237469254,satisfy,0
qcp-10-67-5_ext,0,0,0,1,0,0,0,0,0,20,576,0,5,20,67,0.0591236,0,0,0,0,0,0,0,0.148051947,satisfy,0
qcp-10-67-6_ext,347,347,0,1,347,0,0,0,19,55,972,0,7,20,67,0.0565867,1.4736842105263157,2.9473684210526314,4.894736842105263,9.473684210526315,0.3684210526315789,0.47368421052631576,0,0.364333715,satisfy,0
qcp-10-67-7_ext,495,495,0,1,495,0,0,0,51,159,1998,0,15,20,67,0.0640809,2.607843137254902,2.2745098039215685,3.06,5.901960784313726,0.21568627450980393,0.43137254901960786,1,0.267804699,satisfy,0
qcp-10-67-8_ext,61,61,0,1,61,0,0,0,2,23,598,0,4,20,67,0.0545062,1.5,2,3.5,5.5,0,0,0,0.374034222,satisfy,0
qcp-10-67-9_ext,262,262,0,1,262,0,0,0,10,38,744,0,7,20,67,0.0587107,1.8,2,4.1,8,0.1,0.5,0,0.198224666,satisfy,0
qcp-15-120-0_ext,1994,1994,0,1,1994,0,0,0,59,195,4691,0,72,30,120,0.0529541,2.76271186440678,2.2033898305084745,9.135593220338983,19.440677966101696,0.4576271186440678,0.4745762711864407,0,7.384618355,satisfy,0
qcp-15-120-10_ext,,,,,,,0,1,5795,9428,358048,0,5314,30,120,0.0567754,1.627200552295478,4.336209872281671,5.622018665744902,20.605281325509146,2.7854677252329996,0.6741456679323438,8,8.816663874,satisfy,0
qcp-15-120-11_ext,,,,,,,0,1,44,127,3283,0,44,30,120,0.0546834,2.953488372093023,2.3255813953488373,3.85,7.883720930232558,0.4883720930232558,0.4883720930232558,3,2.779758344,satisfy,0
qcp-15-120-12_ext,,,,,,,0,1,1572,2734,83053,0,1178,30,120,0.0638965,1.740292807129217,3.949713558243157,6.0140575079872205,20.502227880331,1.5983450031826862,0.5754296626352642,6,7.266996987,satisfy,0
qcp-15-120-13_ext,,,,,,,0,1,3270,4815,194909,0,2544,30,120,0.0552804,1.4729275007647598,4.091465279902111,4.916871165644172,20.622514530437442,2.884674212297339,0.6228204343836036,9,4.155527231,satisfy,0
