Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
qcp-10-67-0,383,383,0,1,383,0,0,0,15,95,1098,0,0,20,67,0.108832,4.8,2,5,8.066666666666666,0.26666666666666666,0.13333333333333333,0,satisfy,0
qcp-10-67-1,345,345,0,1,345,0,0,0,30,90,1379,0,1,20,67,0.0319808,2.4,2,3.7666666666666666,6.733333333333333,0.43333333333333335,0.36666666666666664,0,satisfy,0
qcp-10-67-10,,,,,,,0,1,43,158,1766,0,1,20,67,0.0313235,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,satisfy,0
qcp-10-67-11,,,,,,,0,1,219,619,7455,0,7,20,67,0.0308212,2.8394495412844036,2.743119266055046,4.509433962264151,8.756880733944953,0.41743119266055045,0.27522935779816515,6,satisfy,0
qcp-10-67-12,,,,,,,0,1,184,601,6495,0,6,20,67,0.0327545,3.2841530054644807,2.3224043715846996,3.9775280898876404,7.939890710382514,0.24043715846994534,0.31693989071038253,5,satisfy,0
qcp-10-67-13,,,,,,,0,1,8,24,583,0,0,20,67,0.0307211,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,satisfy,0
qcp-10-67-14,,,,,,,0,1,18,79,1171,0,0,20,67,0.0314363,4.647058823529412,2,1.9230769230769231,3.6470588235294117,0.35294117647058826,0.23529411764705882,4,satisfy,0
qcp-10-67-2,69,69,0,1,69,0,0,0,2,16,623,0,0,20,67,0.0323941,1,2,3.5,8,0,0.5,0,satisfy,0
qcp-10-67-3,760,760,0,1,760,0,0,0,76,158,2788,0,2,20,67,0.0319202,1.8421052631578947,2.8552631578947367,4.973684210526316,12.118421052631579,0.39473684210526316,0.32894736842105265,0,satisfy,0
qcp-10-67-4,503,503,0,1,503,0,0,0,26,68,1225,0,0,20,67,0.0318656,1.8461538461538463,2,5.115384615384615,9.153846153846153,0.34615384615384615,0.4230769230769231,0,satisfy,0
