Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
qcp-10-67-0_ext,383,383,0,1,383,0,0,0,15,95,1098,0,6,20,67,0.602168,4.8,2,5,8.066666666666666,0.26666666666666666,0.13333333333333333,0,satisfy,0
qcp-10-67-10_ext,,,,,,,0,1,43,158,1766,0,2,20,67,0.11053,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,satisfy,0
qcp-10-67-11_ext,,,,,,,0,1,219,619,7455,0,16,20,67,0.114533,2.8394495412844036,2.743119266055046,4.509433962264151,8.756880733944953,0.41743119266055045,0.27522935779816515,6,satisfy,0
qcp-10-67-12_ext,,,,,,,0,1,184,601,6495,0,13,20,67,0.0829725,3.2841530054644807,2.3224043715846996,3.9775280898876404,7.939890710382514,0.24043715846994534,0.31693989071038253,5,satisfy,0
qcp-10-67-13_ext,,,,,,,0,1,8,24,583,0,0,20,67,0.0732473,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,satisfy,0
qcp-10-67-14_ext,,,,,,,0,1,18,79,1171,0,0,20,67,0.0816091,4.647058823529412,2,1.9230769230769231,3.6470588235294117,0.35294117647058826,0.23529411764705882,4,satisfy,0
qcp-10-67-1_ext,345,345,0,1,345,0,0,0,30,90,1379,0,1,20,67,0.0891153,2.4,2,3.7666666666666666,6.733333333333333,0.43333333333333335,0.36666666666666664,0,satisfy,0
qcp-10-67-2_ext,69,69,0,1,69,0,0,0,2,16,623,0,0,20,67,0.08517,1,2,3.5,8,0,0.5,0,satisfy,0
qcp-10-67-3_ext,760,760,0,1,760,0,0,0,76,158,2788,0,6,20,67,0.0929524,1.8421052631578947,2.8552631578947367,4.973684210526316,12.118421052631579,0.39473684210526316,0.32894736842105265,0,satisfy,0
qcp-10-67-4_ext,503,503,0,1,503,0,0,0,26,68,1225,0,2,20,67,0.16094,1.8461538461538463,2,5.115384615384615,9.153846153846153,0.34615384615384615,0.4230769230769231,0,satisfy,0
qcp-10-67-5_ext,0,0,0,1,0,0,0,0,0,20,576,0,0,20,67,0.152731,0,0,0,0,0,0,0,satisfy,0
qcp-10-67-6_ext,347,347,0,1,347,0,0,0,19,55,968,0,1,20,67,0.103804,1.4736842105263157,2.9473684210526314,4.894736842105263,9.473684210526315,0.3684210526315789,0.47368421052631576,0,satisfy,0
