Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,72,72,0,1,72,0,0,0,0,113,120,24738,0,1353,3,20,0.0189747,1,10.061946902654867,4.6902654867256635,5.6902654867256635,3.079646017699115,0,0,0.167402928,satisfy,0
s3-02,72,72,0,1,72,0,0,0,0,102,110,19080,0,1051,3,20,0.0191482,1.0098039215686274,10.137254901960784,5.0588235294117645,6.0588235294117645,2.8333333333333335,0,0,0.151879116,satisfy,0
s3-03,69,69,0,1,69,0,0,0,0,85,90,16617,0,935,3,20,0.018302,1,10.152941176470588,5,6,3.070588235294118,0,0,0.161273597,satisfy,0
s3-04,77,77,0,1,77,0,0,0,0,673,678,132579,0,7660,3,20,0.0187772,1.0014858841010401,9.656760772659732,3.934131736526946,4.916790490341754,3.2585438335809807,0,5,0.143178081,satisfy,0
s3-05,78,78,0,1,78,0,0,0,0,361,368,105008,0,4770,3,20,0.0219097,1.0110803324099722,9.806094182825484,4.058333333333334,5.069252077562327,3.160664819944598,0,1,0.052357719,satisfy,0
s3-06,78,78,0,1,78,0,0,0,0,575,576,107157,0,6895,3,20,0.0216211,1,9.740869565217391,3.775043936731107,4.770434782608696,3.1043478260869564,0,6,0.176424501,satisfy,0
s3-07,72,72,0,1,72,0,0,0,0,166,170,34092,0,2218,3,20,0.0203925,1.0060240963855422,10.301204819277109,4.734939759036145,5.734939759036145,3.0903614457831323,0,0,0.197683527,satisfy,0
s3-08,78,78,0,1,78,0,0,0,0,345,348,116882,0,5687,3,20,0.0209433,1,9.614492753623189,3.880813953488372,4.898550724637682,2.9014492753623187,0,1,0.101891849,satisfy,0
s3-09,78,78,0,1,78,0,0,0,0,181,187,70711,0,3156,3,20,0.0189559,1,9.30939226519337,3.6166666666666667,4.596685082872928,2.8784530386740332,0,1,0.090768188,satisfy,0
s3-10,78,78,0,1,78,0,0,0,0,426,431,79407,0,4559,3,20,0.0204219,1.0023474178403755,9.779342723004694,3.8089622641509435,4.826291079812207,3.2629107981220655,0,2,0.177772593,satisfy,0
s4-01,,,,,,,1,0,0,,,,,,4,30,0.0213045,,,,,,,,,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.0466753,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.0501458,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.0405139,,,,,,,,,satisfy,0
s4-05,,,,,,,0,1,0,,,,,,4,30,0.0468989,,,,,,,,88.327490132,satisfy,0
s4-06,,,,,,,0,1,0,,,,,,4,30,0.0230385,,,,,,,,224.4600126,satisfy,0
s4-07,,,,,,,0,1,0,6822,6832,9721644,0,3313102,4,30,0.0419777,1,15.82659044268543,10.547639988273234,11.551890941073,8.09410729991205,0,0,286.707678008,satisfy,0
s4-08,,,,,,,0,1,0,,,,,,4,30,0.022293,,,,,,,,127.36710023,satisfy,0
s4-09,104,104,0,1,104,0,0,0,0,3036,3056,4993891,0,3079317,4,30,0.0191057,1.0029644268774704,15.807312252964428,9.497694334650856,10.58300395256917,6.201251646903821,0,0,57.656480669,satisfy,0
s4-10,,,,,,,0,1,0,8384,8398,10621515,0,3394138,4,30,0.0192423,1.0004770992366412,15.606273854961833,10.84339217557252,11.846731870229007,7.313931297709924,0,0,206.566325274,satisfy,0
s5-01,,,,,,,1,0,0,,,,,,5,40,0.0384819,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,0,,,,,,5,40,0.0398088,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,0,,,,,,5,40,0.0395643,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,0,,,,,,5,40,0.0408338,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,0,,,,,,5,40,0.0389369,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,0,,,,,,5,40,0.038265,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,0,,,,,,5,40,0.0372295,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,0,,,,,,5,40,0.0465411,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,0,,,,,,5,40,0.0392774,,,,,,,,,satisfy,0
s5-10,,,,,,,1,0,0,,,,,,5,40,0.041905,,,,,,,,,satisfy,0
u3-01,,,,,,,0,0,1,514,513,166163,0,8275,3,20,0.0409708,1,9.539961013645224,3.6798418972332017,4.65692007797271,2.9200779727095516,0,7,0.040464053,satisfy,0
u3-02,,,,,,,0,0,1,699,700,130318,0,7254,3,20,0.0192144,1.002865329512894,9.75214899713467,3.959537572254335,4.939828080229226,3.2120343839541547,0,6,0.148000118,satisfy,0
u3-03,,,,,,,0,0,1,649,648,129576,0,7396,3,20,0.017853,1,9.557098765432098,3.9018691588785046,4.868827160493828,3.058641975308642,0,6,0.176547714,satisfy,0
u3-04,,,,,,,0,0,1,714,715,123601,0,6696,3,20,0.0181724,1.002805049088359,9.424964936886395,3.876770538243626,4.854137447405329,3.0715287517531555,0,7,0.155662192,satisfy,0
u3-05,,,,,,,0,0,1,698,700,138035,0,6861,3,20,0.0199332,1.0043041606886658,9.820659971305595,3.9231884057971014,4.90961262553802,3.206599713055954,0,7,0.163386216,satisfy,0
u3-06,,,,,,,0,0,1,422,421,128253,0,5082,3,20,0.0179389,1,9.104513064133016,3.4830917874396135,4.425178147268409,2.505938242280285,0,7,0.058798546,satisfy,0
u3-07,,,,,,,0,0,1,616,619,117972,0,6257,3,20,0.0179675,1.0065040650406505,9.601626016260163,3.817434210526316,4.808130081300813,3.089430894308943,0,7,0.186441159,satisfy,0
u3-08,,,,,,,0,0,1,371,370,103214,0,3656,3,20,0.0173672,1,9.335135135135134,3.3956043956043955,4.34054054054054,2.6297297297297297,0,6,0.058484229,satisfy,0
u3-09,,,,,,,0,0,1,585,588,118769,0,5773,3,20,0.017476,1.0068493150684932,9.592465753424657,3.850953206239168,4.813356164383562,3.041095890410959,0,7,0.17704873,satisfy,0
u3-10,,,,,,,0,0,1,592,591,131135,0,6939,3,20,0.0177749,1,9.707275803722505,3.771869639794168,4.7241962774957695,3.027072758037225,0,8,0.156819393,satisfy,0
u4-01,,,,,,,0,1,0,29779,29862,11191770,0,3253410,4,30,0.0219228,1.0024178112092414,15.333187816917963,9.866147284999496,10.950199805231875,8.260888545619396,0,0,346.401986333,satisfy,0
u4-02,,,,,,,0,1,0,23447,23490,11255711,0,3199447,4,30,0.019136,,15.514735360600504,,,8.875378513242632,,,401.389159484,satisfy,0
u4-03,,,,,,,0,1,0,8098,8109,10849171,0,3394802,4,30,0.0176659,1.0004939491232403,15.844282538898494,10.29278834280069,11.300568041491726,7.392813040256853,0,0,205.074901442,satisfy,0
u4-04,,,,,,,0,1,0,6545,6556,8716310,0,3460080,4,30,0.0180616,1.0001527883880825,15.990068754774637,9.988846447669976,11.029029793735676,7.196638655462185,0,0,140.338585954,satisfy,0
u4-05,,,,,,,0,1,0,13070,13089,12054243,0,3365687,4,30,0.017732,1.0005355776587606,15.69265493496557,11.207804131599081,12.216602907421576,8.21078806426932,0,0,234.191782151,satisfy,0
u4-06,,,,,,,0,1,0,7938,7954,7043384,0,3350853,4,30,0.0224807,1.0008818342151675,15.644872763920382,10.569790879314688,11.57684555303603,7.006424792139078,0,0,249.105447249,satisfy,0
u4-07,,,,,,,1,0,0,,,,,,4,30,0.0371723,,,,,,,,,satisfy,0
u4-08,,,,,,,0,1,0,,,,,,4,30,0.0496642,,,,,,,,192.936649734,satisfy,0
u4-09,,,,,,,0,1,0,6453,6469,7687175,0,3509805,4,30,0.040369,1.0007748334108166,15.759336742600341,10.375794204246088,11.380598171393151,6.780102278010228,0,0,90.009573038,satisfy,0
u4-10,,,,,,,0,1,0,7302,7315,8701206,0,3412082,4,30,0.0246948,1.0001369487811558,15.508490824431663,10.837304847986854,11.842782799233087,7.250205423171733,0,0,188.043825124,satisfy,0
u5-01,,,,,,,1,0,0,,,,,,5,40,0.0225457,,,,,,,,,satisfy,0
u5-02,,,,,,,1,0,0,,,,,,5,40,0.0430879,,,,,,,,,satisfy,0
u5-03,,,,,,,1,0,0,,,,,,5,40,0.0507586,,,,,,,,,satisfy,0
u5-04,,,,,,,1,0,0,,,,,,5,40,0.0424407,,,,,,,,,satisfy,0
u5-05,,,,,,,1,0,0,,,,,,5,40,0.0425,,,,,,,,,satisfy,0
u5-06,,,,,,,1,0,0,,,,,,5,40,0.0418523,,,,,,,,,satisfy,0
