Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
u4-09,,,,,,,0,0,1,5658898,5658897,28944062,0,205200,4,30,0.0204012,1,15.146848935402076,10.741619902440128,11.74159522606614,10.06565449061893,0,13,satisfy,0
u4-10,,,,,,,0,0,1,7094444,7094443,33924822,0,227183,4,30,0.019214,1,14.640463388034833,10.883307592478548,11.88328611562599,10.280878851236102,0,14,satisfy,0
u5-01,,,,,,,0,1,0,92485101,92485117,557977364,0,3599836,5,40,0.0199417,1,20.635119704307833,15.13592448798861,16.77165715589152,14.709224137626233,0,0,satisfy,0
u5-02,,,,,,,0,1,0,90131060,90131077,566106091,0,3599811,5,40,0.021111,1,20.593432408317398,15.43745489068918,16.51890249598751,14.79606156856471,0,0,satisfy,0
u5-03,,,,,,,0,1,0,88932199,88950285,492059919,0,3599783,5,40,0.0417691,1.0002031772541686,20.96997397984053,16.196582679800823,17.207070624667676,15.447305300524505,0,0,satisfy,0
u5-04,,,,,,,0,1,0,86495700,86640862,517266430,0,3599785,5,40,0.0394343,1.0016780718579075,20.49997165176997,15.936628375745846,16.987656947108352,14.918734596055064,0,0,satisfy,0
u5-05,,,,,,,0,1,0,90565066,90565081,515636392,0,3599823,5,40,0.0202788,1,20.83726347640491,15.862513179198698,16.8625131791987,15.617329235977149,0,0,satisfy,0
u5-06,,,,,,,0,1,0,83787661,83838431,486709695,0,3599793,5,40,0.0228446,1.000605745516634,20.232194081656008,15.548389302811543,17.02124487041117,14.754586728468288,0,0,satisfy,0
u5-07,,,,,,,0,1,0,99583328,99665304,585037843,0,3599782,5,40,0.0468892,1.0008230293327816,20.771291395282553,15.35651865340351,16.381014560991574,15.597435586808265,0,0,satisfy,0
u5-08,,,,,,,0,1,0,110043970,110078337,658247682,0,3599820,5,40,0.038822,1.000312138865946,20.601929946729477,15.59251730013012,16.603311021948773,15.072096581030292,0,0,satisfy,0
u5-09,,,,,,,0,1,0,104906457,104906473,692867279,0,3599830,5,40,0.0195431,1,19.79822172433104,15.460293926426283,16.506832463134277,14.362132123097055,0,0,satisfy,0
u5-10,,,,,,,0,1,0,103375053,103375065,604341990,0,3599814,5,40,0.0238859,1,19.498465592080517,15.912978801568304,18.583418883470852,12.642259240244355,0,0,satisfy,0
