Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
u4-09,,,,,,,0,1,0,3361,3371,1227654,0,513751,4,30,0.0692791,1.000297530496876,15.70544480809283,10.206783695328772,11.213626896756917,6.614400476048795,0,0,86.214990612,satisfy,0,0
u4-10,,,,,,,0,1,0,3136,3149,1278930,0,513512,4,30,0.042584,1.000637755102041,15.813775510204081,9.99202806122449,11.004464285714286,6.296237244897959,0,0,86.53906403,satisfy,0,0
u5-01,,,,,,,0,1,0,,,,,,5,40,0.0433967,,,,,,,,,satisfy,,0
u5-02,,,,,,,0,1,0,,,,,,5,40,0.08409,,,,,,,,,satisfy,0,0
u5-03,,,,,,,0,1,0,,,,,,5,40,0.082799,,,,,,,,,satisfy,,0
u5-04,,,,,,,0,1,0,,,,,,5,40,0.0836173,,,,,,,,,satisfy,,0
u5-05,,,,,,,0,1,0,,,,,,5,40,0.0867704,,,,,,,,,satisfy,,0
u5-06,,,,,,,0,1,0,,,,,,5,40,0.0860231,,,,,,,,,satisfy,0,0
u5-07,,,,,,,0,1,0,,,,,,5,40,0.0832972,,,,,,,,,satisfy,,0
u5-08,,,,,,,0,1,0,,,,,,5,40,0.0850226,,,,,,,,,satisfy,0,0
u5-09,,,,,,,0,1,0,,,,,,5,40,0.082074,,,,,,,,,satisfy,0,0
u5-10,,,,,,,0,1,0,,,,,,5,40,0.0812814,,,,,,,,,satisfy,0,0
