Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
qcp-10-67-0_ext,140.16876574307304,17510,159,397,1152,0,0,0,0,127,894,36912,0,171,20,100,0.117246,6.826771653543307,9.716535433070867,4.330708661417323,7.511811023622047,0.3464566929133858,0.49606299212598426,0,0.137848636,satisfy,1,0
qcp-10-67-10_ext,,,,,,,0,0,1,43,158,8029,0,33,20,100,0.0817944,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.116902451,satisfy,0,0
qcp-10-67-11_ext,,,,,,,0,0,1,221,616,34270,0,144,20,100,0.0859932,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.100835659,satisfy,0,0
qcp-10-67-12_ext,,,,,,,0,0,1,185,604,29305,0,128,20,100,0.0883602,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.127117368,satisfy,0,0
qcp-10-67-13_ext,,,,,,,0,0,1,8,24,1341,0,4,20,100,0.0847039,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.108104149,satisfy,0,0
qcp-10-67-14_ext,,,,,,,0,0,1,19,83,4524,0,20,20,100,0.0837785,4.611111111111111,2.388888888888889,1.9285714285714286,3.6666666666666665,0.3333333333333333,0.2222222222222222,4,0.114862054,satisfy,0,0
qcp-10-67-1_ext,84.78531073446328,7812,101,177,845,0,0,0,0,98,488,24882,0,106,20,100,0.0843372,4.795918367346939,8.295918367346939,3.8469387755102042,7.377551020408164,0.5306122448979592,0.5612244897959183,0,0.079969994,satisfy,1,0
qcp-10-67-2_ext,80.73684210526316,11995,138,342,1002,0,0,0,0,131,582,39372,0,215,20,100,0.0860508,4.320610687022901,11.82442748091603,3.8931297709923665,8.083969465648854,0.48091603053435117,0.6641221374045801,0,0.129606014,satisfy,1,0
qcp-10-67-3_ext,96.25714285714285,10566,143,210,1400,0,0,0,0,169,493,23491,0,110,20,100,0.0866359,2.804733727810651,6.017751479289941,4.207100591715976,9.21301775147929,0.31952662721893493,0.5502958579881657,0,0.072572198,satisfy,1,0
qcp-10-67-4_ext,139.7560975609756,14851,106,123,932,0,0,0,0,92,470,25620,0,103,20,100,0.0842904,4.880434782608695,5.9021739130434785,4.271739130434782,7.239130434782608,0.18478260869565216,0.4782608695652174,0,0.094582427,satisfy,1,0
qcp-10-67-5_ext,25.466666666666665,3353,126,165,582,0,0,0,0,80,347,16755,0,83,20,100,0.0843805,4.0625,9.175,3.625,7.1125,0.125,0.5125,0,0.132520199,satisfy,1,0
qcp-10-67-6_ext,154.6797583081571,18049,131,331,1201,0,0,0,0,119,744,32298,0,153,20,100,0.0821984,6.008403361344538,12.327731092436975,6.26890756302521,10.168067226890756,0.3445378151260504,0.5042016806722689,0,0.11285725,satisfy,1,0
qcp-10-67-7_ext,157.40462427745663,12578,92,173,999,0,0,0,0,127,625,31595,0,134,20,100,0.0826835,4.708661417322834,6.881889763779528,3.738095238095238,6.78740157480315,0.2440944881889764,0.5984251968503937,1,0.073131075,satisfy,1,0
qcp-10-67-8_ext,94.9249530956848,12918,180,533,909,0,0,0,0,127,912,47362,0,211,20,100,0.0821406,7.0236220472440944,9.275590551181102,3.62992125984252,6.818897637795276,0.25196850393700787,0.7086614173228346,0,0.181852866,satisfy,1,0
qcp-10-67-9_ext,131.5595667870036,15769,161,277,1063,0,0,0,0,116,708,39780,0,200,20,100,0.0819104,5.913793103448276,9.810344827586206,4.353448275862069,8.568965517241379,0.29310344827586204,0.6551724137931034,0,0.157947159,satisfy,1,0
qcp-15-120-0_ext,489.79457768508865,128909,320,959,3894,0,0,0,0,306,1814,143665,0,779,30,225,0.0842081,5.80718954248366,10.366013071895425,4.905228758169935,10.676470588235293,0.6339869281045751,0.6176470588235294,0,5.320706154,satisfy,1,0
qcp-15-120-10_ext,,,,,,,0,0,1,5316,8811,1115584,0,4452,30,225,0.081991,1.657761053621825,4.365945437441204,5.546362608367885,20.57008466603951,2.5969896519285043,0.6735653809971778,9,6.166726724,satisfy,0,0
qcp-15-120-11_ext,,,,,,,0,0,1,44,127,13429,0,51,30,225,0.0831448,2.953488372093023,2.3255813953488373,3.85,7.883720930232558,0.4883720930232558,0.4883720930232558,3,1.714553115,satisfy,0,0
qcp-15-120-12_ext,,,,,,,0,0,1,1572,2734,339160,0,1450,30,225,0.0818689,1.740292807129217,3.9713558243157223,6.0140575079872205,20.502227880331,1.5983450031826862,0.5754296626352642,6,4.031487913,satisfy,0,0
qcp-15-120-13_ext,,,,,,,0,0,1,3398,4979,614771,0,2303,30,225,0.0854142,1.4657050338534001,4.108919634972034,4.960743801652892,21.239623196938474,2.6970856638210186,0.7044450986164262,9,3.204804983,satisfy,0,0
qcp-15-120-14_ext,,,,,,,0,0,1,102,307,32335,0,142,30,225,0.0855612,3.0396039603960396,2.613861386138614,4.23469387755102,8.455445544554456,0.693069306930693,0.5148514851485149,3,3.608201084,satisfy,0,0
qcp-15-120-1_ext,445.55606407322654,101411,333,874,4483,0,0,0,0,743,1873,204971,0,871,30,225,0.0820607,2.4952893674293404,5.586810228802153,6.917900403768506,19.620457604306864,0.6689098250336474,0.5235531628532974,0,3.632233227,satisfy,1,0
