Filename,11AutonomousSearchAverageSizeOfHeap,11AutonomousSearchNumAssignedPredicatesEncountered,11AutonomousSearchNumBackupCalled,11AutonomousSearchNumCalls,11AutonomousSearchNumPredicatesAdded,11AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,37,37,0,1,37,0,0,0,0,2875,2883,12544,0,64,3,20,0.0394529,1,10.398260869565217,6.964173913043478,7.964173913043478,5.9499130434782606,0,0,0.129209818,satisfy,0
s3-02,37,37,0,1,37,0,0,0,0,1761,1770,8521,0,44,3,20,0.0196067,1,10.175468483816013,6.7666098807495745,7.7666098807495745,5.286201022146508,0,0,0.144309333,satisfy,0
s3-03,36,36,0,1,36,0,0,0,0,1560,1569,6983,0,38,3,20,0.018987,1,10.528846153846153,7.048076923076923,8.048076923076923,5.822435897435898,0,0,0.135944337,satisfy,0
s3-04,39,39,0,1,39,0,0,0,0,3947,3953,19972,0,116,3,20,0.0198668,1,9.735748669875855,5.4644850329781836,6.457562705852546,5.116290853813022,0,5,0.12104108,satisfy,0
s3-05,585,585,0,1,585,0,0,0,0,4358,4362,30261,0,551,3,20,0.0194525,1,10.344424047728316,6.763423588802203,9.39352914180817,4.225791647544745,0,0,0.122098231,satisfy,0
s3-06,39,39,0,1,39,0,0,0,0,16982,16987,74791,0,638,3,20,0.0286836,1,10.124602520315628,6.359978793590952,7.357731715934519,5.758567895418679,0,6,0.126552197,satisfy,0
s3-07,37,37,0,1,37,0,0,0,0,4775,4780,21374,0,126,3,20,0.0200716,1,10.873089005235602,6.977591623036649,7.977591623036649,6.305549738219895,0,0,0.123543244,satisfy,0
s3-08,428,428,0,1,428,0,0,0,0,2844,2904,24009,0,296,3,20,0.0261652,1.018987341772152,10.15225035161744,6.598101265822785,9.364978902953586,3.560829817158931,0,0,0.125518915,satisfy,0
s3-09,339,339,0,1,339,0,0,0,0,3294,3302,23436,0,320,3,20,0.0221372,1,9.876442015786278,7.3727990285367335,10.444140862173649,3.482695810564663,0,0,0.137767817,satisfy,0
s3-10,39,39,0,1,39,0,0,0,0,9814,9823,40448,0,355,3,20,0.0231876,1,9.909517016507031,6.347737464329392,7.346443855716323,5.884654575096801,0,2,0.123979755,satisfy,0
s4-01,,,,,,,1,0,0,,,,,,4,30,0.0210307,,,,,,,,,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.0221895,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.04011,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.0369291,,,,,,,,,satisfy,0
s4-05,,,,,,,1,0,0,,,,,,4,30,0.0345969,,,,,,,,,satisfy,0
s4-06,,,,,,,1,0,0,,,,,,4,30,0.0313417,,,,,,,,,satisfy,0
s4-07,,,,,,,1,0,0,,,,,,4,30,0.0329921,,,,,,,,,satisfy,0
s4-08,,,,,,,1,0,0,,,,,,4,30,0.0356924,,,,,,,,,satisfy,0
s4-09,,,,,,,1,0,0,,,,,,4,30,0.0338406,,,,,,,,,satisfy,0
s4-10,,,,,,,1,0,0,,,,,,4,30,0.035145,,,,,,,,,satisfy,0
s5-01,,,,,,,1,0,0,,,,,,5,40,0.0328711,,,,,,,,,satisfy,0
