Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
u4-02,,,,,,,0,0,0,4734052,4734051,25452582,0,128459,4,30,0.018646,1,14.970564744655265,10.558179296406156,11.558150302985752,9.95124999709551,0,13,satisfy,0
u4-03,,,,,,,0,0,0,4156886,4156885,24094032,0,113790,4,30,0.0179064,1,15.314520849145454,10.454669389548052,11.454634179199088,9.93649740129929,0,14,satisfy,0
u4-04,,,,,,,0,0,0,6973591,6973590,34042000,0,193394,4,30,0.0179373,1,15.112112269290279,10.814658074996244,11.877784613090245,10.23838682801828,0,14,satisfy,0
u4-05,,,,,,,0,0,0,6868051,6868050,34154118,0,185970,4,30,0.017988,1,14.985055874666026,10.817511731155749,11.81748968047699,10.197206339499568,0,14,satisfy,0
u4-06,,,,,,,0,0,0,3564227,3564226,19113160,0,99075,4,30,0.0183055,1,14.628714621351172,10.300782417202573,11.300739066490172,9.667031776323949,0,15,satisfy,0
u4-07,,,,,,,0,0,0,2982979,2982978,16338179,0,83911,4,30,0.0178248,1,14.91462960839805,10.175118380537485,11.175074036751193,9.743314902087779,0,13,satisfy,0
u4-08,,,,,,,0,0,0,7584425,7590940,37497390,0,199245,4,30,0.0176246,1.000859129183706,15.140473159201015,11.00798796373245,12.008084595481476,10.348380839467836,0,13,satisfy,0
u4-09,,,,,,,0,0,0,5658898,5658897,28944062,0,157173,4,30,0.01828,1,15.146848935402076,10.741619902440128,11.74159522606614,10.06565449061893,0,13,satisfy,0
u4-10,,,,,,,0,0,0,7094444,7094443,33924822,0,180749,4,30,0.0176379,1,14.640463388034833,10.883307592478548,11.88328611562599,10.280878851236102,0,14,satisfy,0
u5-01,,,,,,,0,0,0,38659213,38659229,235028024,0,1199843,5,40,0.0183264,1,20.661562355136407,15.077944033677044,16.725435978223352,14.706354161943235,0,0,satisfy,0
u5-02,,,,,,,0,0,0,38107709,38107726,242275105,0,1199841,5,40,0.0183151,1,20.58741125056875,15.647830442916419,16.716021789711892,14.519934352390484,0,0,satisfy,0
u5-03,,,,,,,0,0,0,39260932,39265339,217263080,0,1199838,5,40,0.017818,1.0001118669317377,20.957779097042323,16.316025228336404,17.32398530427143,15.348451356172594,0,0,satisfy,0
u5-04,,,,,,,0,0,0,38074386,38124819,229224259,0,1199836,5,40,0.0179885,1.0013241447938255,20.48839324684054,16.058715851648927,17.130064631902403,14.73760763994986,0,0,satisfy,0
u5-05,,,,,,,0,0,0,36386184,36386201,209533658,0,1199829,5,40,0.0201568,1,20.87590677274649,15.822846248455184,16.822846248455182,15.596528286670567,0,0,satisfy,0
u5-06,,,,,,,0,0,0,36129418,36145929,209064390,0,1199840,5,40,0.0202273,1.0004565808394699,20.218283339078422,15.512030030486514,17.000306924401606,14.79275403772073,0,0,satisfy,0
u5-07,,,,,,,0,0,0,38979925,39008997,228094556,0,1199850,5,40,0.0188788,1.0007454349899338,20.790398544892017,15.336215090203483,16.353196472286697,15.694078297995699,0,0,satisfy,0
u5-08,,,,,,,0,0,0,39294236,39301512,236656557,0,1199847,5,40,0.0189635,1.0001847344735244,20.596735511030168,15.69253536320187,16.700839583698738,14.938031521976912,0,0,satisfy,0
u5-09,,,,,,,0,0,0,38602590,38602606,256004628,0,1199850,5,40,0.0193978,1,19.78521938553864,15.48840095962473,16.5369590226977,14.288639777797293,0,0,satisfy,0
u5-10,,,,,,,0,0,0,36140675,36140690,212594273,0,1199837,5,40,0.0193973,1,19.491042322812177,15.956713426077405,18.59884537297657,12.561349615080514,0,0,satisfy,0
