Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,mddMaxWidth,method,nSolutions,paths,reportedMdd
s3-01,73,73,0,1,73,0,0,0,0,92,98,719,0,215,3,20,0.0682032,1,9.695652173913043,4.184782608695652,6.086956521739131,1.7608695652173914,0,0,0.034301,,satisfy,1,0,0
s3-02,73,73,0,1,73,0,0,0,0,54,60,479,0,132,3,20,0.0361887,1,9.666666666666666,4.444444444444445,5.888888888888889,1.6296296296296295,0,0,0.02912,,satisfy,1,0,0
s3-03,70,70,0,1,70,0,0,0,0,66,69,506,0,161,3,20,0.0370192,1,9.848484848484848,4.424242424242424,6.621212121212121,1.5151515151515151,0,0,0.03278825,,satisfy,1,0,0
s3-04,77,77,0,1,77,0,0,0,0,484,488,4026,0,1027,3,20,0.0362453,1,9.555785123966942,3.701461377870564,4.944214876033058,2.5371900826446283,0,5,0.029580458,,satisfy,1,0,0
s3-05,77,77,0,1,77,0,0,0,0,334,341,2653,0,629,3,20,0.0696667,1.0119760479041917,9.58682634730539,3.933933933933934,5.583832335329341,2.44311377245509,0,1,0.025691667,,satisfy,1,0,0
s3-06,,,,,,,0,0,1,388,387,3084,0,832,3,20,0.0377488,1,9.462532299741602,3.477690288713911,4.956072351421189,2.157622739018088,0,6,0.036360166,,satisfy,0,0,0
s3-07,73,73,0,1,73,0,0,0,0,123,127,959,0,310,3,20,0.0370645,1.008130081300813,9.821138211382113,4.1138211382113825,6.308943089430894,1.7154471544715446,0,0,0.034343167,,satisfy,1,0,0
s3-08,77,77,0,1,77,0,0,0,0,309,312,2503,0,675,3,20,0.035181,1,9.391585760517799,3.7435064935064934,5.433656957928803,2.0841423948220066,0,1,0.02771875,,satisfy,1,0,0
s3-09,77,77,0,1,77,0,0,0,0,181,187,1442,0,364,3,20,0.0372023,1,9.171270718232044,3.511111111111111,5.176795580110498,2.0497237569060776,0,1,0.026961208,,satisfy,1,0,0
s3-10,77,77,0,1,77,0,0,0,0,320,324,2598,0,692,3,20,0.0367664,1,9.659375,3.591194968553459,5.115625,2.4375,0,2,0.030596333,,satisfy,1,0,0
