Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,mddMaxWidth,method,nSolutions,paths,reportedMdd
s3-01,66,66,0,1,66,0,0,0,0,2424,2432,10853,0,243,3,20,0.0707879,1,10.398102310231023,6.894389438943894,7.90016501650165,5.876237623762377,0,0,0.254740709,,satisfy,1,0,0
s3-02,63,63,0,1,63,0,0,0,0,1605,1614,7885,0,154,3,20,0.0353795,1,10.18380062305296,6.78006230529595,7.78006230529595,5.208099688473521,0,0,0.247960209,,satisfy,1,0,0
s3-03,66,66,0,1,66,0,0,0,0,1121,1130,5218,0,161,3,20,0.0375715,1,10.504014272970561,6.939339875111507,7.9607493309545045,5.709188224799286,0,0,0.25651325,,satisfy,1,0,0
s3-04,74,74,0,1,74,0,0,0,0,2454,2460,13751,0,804,3,20,0.0363292,1.0008149959250203,9.845150774246129,5.210698244181298,6.21801140994295,5.027302363488182,0,5,0.234166375,,satisfy,1,0,0
s3-05,72,72,0,1,72,0,0,0,0,4745,4749,22303,0,1149,3,20,0.0483417,1,10.236670179135933,6.118676222596965,7.167334035827187,5.80927291886196,0,1,0.196131458,,satisfy,1,0,0
s3-06,76,76,0,1,76,0,0,0,0,9390,9396,44120,0,1876,3,20,0.0372922,1.000425985090522,10.215654952076678,6.1734867860187554,7.187965921192759,5.782960596379127,0,6,0.242132167,,satisfy,1,0,0
s3-07,71,71,0,1,71,0,0,0,0,3506,3509,16178,0,438,3,20,0.0368841,1,10.851112378779236,6.936109526525955,7.958927552766686,6.152880775812892,0,0,0.268547667,,satisfy,1,0,0
s3-08,73,73,0,1,73,0,0,0,0,4299,4303,22266,0,1067,3,20,0.0350133,1.0002326122354035,9.93905559432426,5.9125174499767335,7.013258897418004,5.208187950686206,0,1,0.23225325,,satisfy,1,0,0
s3-09,72,72,0,1,72,0,0,0,0,7184,7292,29635,0,919,3,20,0.0482582,1.0141982182628062,10.17608574610245,6.550048726158987,7.629871937639198,6.2328786191536745,0,1,0.204783333,,satisfy,1,0,0
s3-10,76,76,0,1,76,0,0,0,0,5662,5674,25628,0,1252,3,20,0.038319,1.0005298481102085,9.959378311550688,6.074558303886926,7.094312963617097,5.786647827622748,0,2,0.253973583,,satisfy,1,0,0
s4-01,99,99,0,1,99,0,0,0,0,689664,689695,3724904,0,87968,4,30,0.0384718,1.0000275496473645,15.588953461395693,11.176285843541203,12.294910275148478,10.349758723088344,0,0,339.205199792,,satisfy,1,0,0
s4-02,103,103,0,1,103,0,0,0,0,709946,709964,4178709,0,83654,4,30,0.0585341,1.0000126770205058,15.487197617846991,10.353767751350103,11.371267673879421,10.352029590982976,0,0,364.408985917,,satisfy,1,0,0
s4-03,106,106,0,1,106,0,0,0,0,4678570,4678641,25037800,0,553725,4,30,0.0605813,1.0000123969503503,15.074203015023821,10.585213717194542,11.585428239825417,10.02539942760288,0,4,421.013520958,,satisfy,1,0,0
s4-04,90,90,0,1,90,0,0,0,0,981910,981923,4820759,0,83973,4,30,0.0602873,1,15.416037111344217,11.327843692395433,12.327877300363577,10.803695858072532,0,0,420.5374245,,satisfy,1,0,0
s4-05,95,95,0,1,95,0,0,0,0,209517,209530,1158834,0,21796,4,30,0.0709035,1,14.996993084093415,11.226836008533914,12.87026351083683,8.969319911988048,0,0,308.911787416,,satisfy,1,0,0
s4-06,97,97,0,1,97,0,0,0,0,946297,946313,4464746,0,85619,4,30,0.0572357,1.0000042270027274,15.445175246249327,11.802327387701746,12.802569383607894,10.399236180607145,0,0,360.237751459,,satisfy,1,0,0
s4-07,104,104,0,1,104,0,0,0,0,6451211,6451260,31713791,0,753721,4,30,0.0576054,1.0000055803476278,15.283469103707816,10.947503475318111,11.948044328421439,10.48201136189779,0,3,421.902123166,,satisfy,1,0,0
s4-08,95,95,0,1,95,0,0,0,0,601712,601736,3001064,0,53549,4,30,0.0584086,1.0000199430957002,15.250207740580212,11.311155502964873,12.31263793974526,10.206713510782567,0,0,401.2515495,,satisfy,1,0,0
s4-09,76,76,0,1,76,0,0,0,0,63710,63723,346343,0,6649,4,30,0.0563689,1,15.676063412337152,11.389970177366191,12.735441845864072,9.699309370585466,0,0,242.688859334,,satisfy,1,0,0
s4-10,100,100,0,1,100,0,0,0,0,3090365,3090411,16714754,0,350205,4,30,0.0572738,1.0000110019366644,15.44556646221401,10.606171508007312,11.606667820791396,10.484723001975494,0,2,398.801364375,,satisfy,1,0,0
